Sentence,Tokens,Lemmas,POS,Chapter
"Во всякой книге предисловие есть первая и вместе с тем последняя вещь; оно или служит объяснением цели сочинения, или оправданием и ответом на критики.",Во;всякой;книге;предисловие;есть;первая;и;вместе;с;тем;последняя;вещь;оно;или;служит;объяснением;цели;сочинения;или;оправданием;и;ответом;на;критики,в;всякий;книга;предисловие;быть;первый;и;вместе;с;то;последний;вещь;оно;или;служить;объяснение;цель;сочинение;или;оправдание;и;ответ;на;критика,ADP;DET;NOUN;NOUN;AUX;ADJ;CCONJ;ADV;ADP;PRON;ADJ;NOUN;PRON;CCONJ;VERB;NOUN;NOUN;NOUN;CCONJ;NOUN;CCONJ;NOUN;ADP;NOUN,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"Но обыкновенно читателям дела нет до нравственной цели и до журнальных нападок, и потому они не читают предисловий.",Но;обыкновенно;читателям;дела;нет;до;нравственной;цели;и;до;журнальных;нападок;и;потому;они;не;читают;предисловий,но;обыкновенно;читатель;дело;нет;до;нравственный;цель;и;до;журнальный;нападки;и;потому;они;не;читать;предисловие,CCONJ;ADV;NOUN;NOUN;VERB;ADP;ADJ;NOUN;CCONJ;ADP;ADJ;NOUN;CCONJ;ADV;PRON;PART;VERB;NOUN,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"А жаль, что это так, особенно у нас.",А;жаль;что;это;так;особенно;у;нас,а;жаль;что;это;так;особенно;у;мы,CCONJ;ADV;SCONJ;PRON;ADV;ADV;ADP;PRON,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"Наша публика так еще молода и простодушна, что не понимает басни, если в конце ее не находит нравоучения.",Наша;публика;так;еще;молода;и;простодушна;что;не;понимает;басни;если;в;конце;ее;не;находит;нравоучения,наш;публика;так;еще;молодой;и;простодушный;что;не;понимать;басня;если;в;конец;она;не;находить;нравоучение,DET;NOUN;ADV;ADV;ADJ;CCONJ;ADJ;SCONJ;PART;VERB;NOUN;SCONJ;ADP;NOUN;PRON;PART;VERB;NOUN,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"Она не угадывает шутки, не чувствует иронии; она просто дурно воспитана.",Она;не;угадывает;шутки;не;чувствует;иронии;она;просто;дурно;воспитана,она;не;угадывать;шутка;не;чувствовать;ирония;она;просто;дурно;воспитать,PRON;PART;VERB;NOUN;PART;VERB;NOUN;PRON;PART;ADV;VERB,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"Она еще не знает, что в порядочном обществе и в порядочной книге явная брань не может иметь места; что современная образованность изобрела орудие более острое, почти невидимое, и тем не менее смертельное, которое, под одеждою лести, наносит неотразимый и верный удар.",Она;еще;не;знает;что;в;порядочном;обществе;и;в;порядочной;книге;явная;брань;не;может;иметь;места;что;современная;образованность;изобрела;орудие;более;острое;почти;невидимое;и;тем;не;менее;смертельное;которое;под;одеждою;лести;наносит;неотразимый;и;верный;удар,она;еще;не;знать;что;в;порядочный;общество;и;в;порядочный;книга;явный;брань;не;мочь;иметь;место;что;современный;образованность;изобрести;орудие;более;острый;почти;невидимый;и;то;не;менее;смертельный;который;под;одежда;лесть;наносить;неотразимый;и;верный;удар,PRON;ADV;PART;VERB;SCONJ;ADP;ADJ;NOUN;CCONJ;ADP;ADJ;NOUN;ADJ;NOUN;PART;VERB;VERB;NOUN;SCONJ;ADJ;NOUN;VERB;NOUN;ADV;ADJ;ADV;ADJ;CCONJ;PRON;PART;ADV;ADJ;PRON;ADP;NOUN;NOUN;VERB;ADJ;CCONJ;ADJ;NOUN,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"Наша публика похожа на провинциала, который, подслушав разговор двух дипломатов, принадлежащих к враждебным дворам, остался бы уверен, что каждый из них обманывает свое правительство в пользу взаимной, нежнейшей дружбы.",Наша;публика;похожа;на;провинциала;который;подслушав;разговор;двух;дипломатов;принадлежащих;к;враждебным;дворам;остался;бы;уверен;что;каждый;из;них;обманывает;свое;правительство;в;пользу;взаимной;нежнейшей;дружбы,наш;публика;похожий;на;провинциал;который;подслушать;разговор;два;дипломат;принадлежать;к;враждебный;двор;остаться;бы;уверенный;что;каждый;из;они;обманывать;свой;правительство;в;польза;взаимный;нежный;дружба,DET;NOUN;ADJ;ADP;NOUN;PRON;VERB;NOUN;NUM;NOUN;VERB;ADP;ADJ;NOUN;VERB;AUX;ADJ;SCONJ;DET;ADP;PRON;VERB;DET;NOUN;ADP;NOUN;ADJ;ADJ;NOUN,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
Эта книга испытала на себе еще недавно несчастную доверчивость некоторых читателей и даже журналов к буквальному значению слов.,Эта;книга;испытала;на;себе;еще;недавно;несчастную;доверчивость;некоторых;читателей;и;даже;журналов;к;буквальному;значению;слов,этот;книга;испытать;на;себя;еще;недавно;несчастный;доверчивость;некоторый;читатель;и;даже;журнал;к;буквальный;значение;слово,DET;NOUN;VERB;ADP;PRON;ADV;ADV;ADJ;NOUN;DET;NOUN;CCONJ;PART;NOUN;ADP;ADJ;NOUN;NOUN,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"Иные ужасно обиделись, и не шутя, что им ставят в пример такого безнравственного человека, как Герой Нашего Времени; другие же очень тонко замечали, что сочинитель нарисовал свой портрет и портреты своих знакомых... Старая и жалкая шутка!",Иные;ужасно;обиделись;и;не;шутя;что;им;ставят;в;пример;такого;безнравственного;человека;как;Герой;Нашего;Времени;другие;же;очень;тонко;замечали;что;сочинитель;нарисовал;свой;портрет;и;портреты;своих;знакомых;Старая;и;жалкая;шутка,иной;ужасно;обидеться;и;не;шутить;что;они;ставить;в;пример;такой;безнравственный;человек;как;Герой;наш;время;другой;же;очень;тонко;замечать;что;сочинитель;нарисовать;свой;портрет;и;портрет;свой;знакомый;старый;и;жалкий;шутка,ADJ;ADV;VERB;CCONJ;PART;VERB;SCONJ;PRON;VERB;ADP;NOUN;DET;ADJ;NOUN;SCONJ;PROPN;DET;PROPN;ADJ;PART;ADV;ADV;VERB;SCONJ;NOUN;VERB;DET;NOUN;CCONJ;NOUN;DET;NOUN;ADJ;CCONJ;ADJ;NOUN,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
"Но, видно, Русь так уж сотворена, что всё в ней обновляется, кроме подобных нелепостей.",Но;видно;Русь;так;уж;сотворена;что;всё;в;ней;обновляется;кроме;подобных;нелепостей,но;видно;Русь;так;уж;сотворять;что;все;в;она;обновлять;кроме;подобный;нелепость,CCONJ;ADV;PROPN;ADV;PART;VERB;SCONJ;PRON;ADP;PRON;VERB;ADP;ADJ;NOUN,Герой нашего времени. Предисловие. - rvb.ru - https://rvb.ru/19vek/lermontov/lp/text/01-01.html
