Sentence,Tokens,Lemmas,POS,Chapter,Labels
"Во всякой книге предисловие есть первая и вместе с тем последняя вещь; оно или служит объяснением цели сочинения, или оправданием и ответом на критики.",во;всякой;книге;предисловие;есть;первая;и;вместе;с;тем;последняя;вещь;оно;или;служит;объяснением;цели;сочинения;или;оправданием;и;ответом;на;критики,во;всякий;книга;предисловие;быть;первый;и;вместе;с;то;последний;вещь;оно;или;служить;объяснение;цель;сочинение;или;оправдание;и;ответ;на;критика,PR;APRO;S;S;V;ANUM;CONJ;ADV;PR;SPRO;A;S;SPRO;CONJ;V;S;S;S;CONJ;S;CONJ;S;PR;S,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Но обыкновенно читателям дела нет до нравственной цели и до журнальных нападок, и потому они не читают предисловий.",но;обыкновенно;читателям;дела;нет;до;нравственной;цели;и;до;журнальных;нападок;и;потому;они;не;читают;предисловий,но;обыкновенно;читатель;дело;нет;до;нравственный;цель;и;до;журнальный;нападки;и;потому;они;не;читать;предисловие,CONJ;ADV;S;S;ADV;PR;A;S;CONJ;PR;A;S;CONJ;ADVPRO;SPRO;PART;V;S,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"А жаль, что это так, особенно у нас.",а;жаль;что;это;так;особенно;у;нас,а;жаль;что;это;так;особенно;у;мы,CONJ;ADV;CONJ;SPRO;ADVPRO;ADV;PR;SPRO,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0
"Наша публика так еще молода и простодушна, что не понимает басни, если в конце ее не находит нравоучения.",наша;публика;так;еще;молода;и;простодушна;что;не;понимает;басни;если;в;конце;ее;не;находит;нравоучения,наш;публика;так;еще;молодой;и;простодушный;что;не;понимать;басня;если;в;конец;ее;не;находить;нравоучение,APRO;S;ADVPRO;ADV;A;CONJ;A;CONJ;PART;V;S;CONJ;PR;S;APRO;PART;V;S,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Она не угадывает шутки, не чувствует иронии; она просто дурно воспитана.",она;не;угадывает;шутки;не;чувствует;иронии;она;просто;дурно;воспитана,она;не;угадывать;шутка;не;чувствовать;ирония;она;просто;дурно;воспитывать,SPRO;PART;V;S;PART;V;S;SPRO;PART;ADV;V,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0
"Она еще не знает, что в порядочном обществе и в порядочной книге явная брань не может иметь места; что современная образованность изобрела орудие более острое, почти невидимое, и тем не менее смертельное, которое, под одеждою лести, наносит неотразимый и верный удар.",она;еще;не;знает;что;в;порядочном;обществе;и;в;порядочной;книге;явная;брань;не;может;иметь;места;что;современная;образованность;изобрела;орудие;более;острое;почти;невидимое;и;тем;не;менее;смертельное;которое;под;одеждою;лести;наносит;неотразимый;и;верный;удар,она;еще;не;знать;что;в;порядочный;общество;и;в;порядочный;книга;явный;брань;не;мочь;иметь;место;что;современный;образованность;изобретать;орудие;более;острый;почти;невидимый;и;то;не;менее;смертельный;который;под;одежда;лесть;наносить;неотразимый;и;верный;удар,SPRO;ADV;PART;V;CONJ;PR;A;S;CONJ;PR;A;S;A;S;PART;V;V;S;CONJ;A;S;V;S;ADV;A;ADV;A;CONJ;SPRO;PART;ADV;A;APRO;PR;S;S;V;A;CONJ;A;S,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Наша публика похожа на провинциала, который, подслушав разговор двух дипломатов, принадлежащих к враждебным дворам, остался бы уверен, что каждый из них обманывает свое правительство в пользу взаимной, нежнейшей дружбы.",наша;публика;похожа;на;провинциала;который;подслушав;разговор;двух;дипломатов;принадлежащих;к;враждебным;дворам;остался;бы;уверен;что;каждый;из;них;обманывает;свое;правительство;в;пользу;взаимной;нежнейшей;дружбы,наш;публика;похожий;на;провинциал;который;подслушивать;разговор;два;дипломат;принадлежать;к;враждебный;двор;оставаться;бы;уверенный;что;каждый;из;они;обманывать;свой;правительство;в;польза;взаимный;нежный;дружба,APRO;S;A;PR;S;APRO;V;S;NUM;S;V;PR;A;S;V;PART;A;CONJ;APRO;PR;SPRO;V;APRO;S;PR;S;A;A;S,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Эта книга испытала на себе еще недавно несчастную доверчивость некоторых читателей и даже журналов к буквальному значению слов.,эта;книга;испытала;на;себе;еще;недавно;несчастную;доверчивость;некоторых;читателей;и;даже;журналов;к;буквальному;значению;слов,этот;книга;испытывать;на;себя;еще;недавно;несчастный;доверчивость;некоторый;читатель;и;даже;журнал;к;буквальный;значение;слово,APRO;S;V;PR;SPRO;ADV;ADV;A;S;APRO;S;CONJ;PART;S;PR;A;S;S,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Иные ужасно обиделись, и не шутя, что им ставят в пример такого безнравственного человека, как Герой Нашего Времени; другие же очень тонко замечали, что сочинитель нарисовал свой портрет и портреты своих знакомых... Старая и жалкая шутка!",иные;ужасно;обиделись;и;не;шутя;что;им;ставят;в;пример;такого;безнравственного;человека;как;герой;нашего;времени;другие;же;очень;тонко;замечали;что;сочинитель;нарисовал;свой;портрет;и;портреты;своих;знакомых;... ;старая;и;жалкая;шутка,иной;ужасно;обижаться;и;не;шутить;что;они;ставить;в;пример;такой;безнравственный;человек;как;герой;наш;время;другой;же;очень;тонко;замечать;что;сочинитель;нарисовать;свой;портрет;и;портрет;свой;знакомый;... ;старый;и;жалкий;шутка,APRO;ADV;V;CONJ;PART;V;CONJ;SPRO;V;PR;S;APRO;A;S;CONJ;S;APRO;S;APRO;PART;ADV;ADV;V;CONJ;S;V;APRO;S;CONJ;S;APRO;S;;A;CONJ;A;S,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Но, видно, Русь так уж сотворена, что всё в ней обновляется, кроме подобных нелепостей.",но;видно;русь;так;уж;сотворена;что;всё;в;ней;обновляется;кроме;подобных;нелепостей,но;видно;русь;так;уж;сотворить;что;все;в;она;обновляться;кроме;подобный;нелепость,CONJ;ADV;S;ADVPRO;PART;V;CONJ;SPRO;PR;SPRO;V;PR;A;S,Герой нашего времени. Предисловие.,0;0;0;0;0;0;0;0;0;0;0;0;0;0
